degree	h_max	timestep	error	ti_time
2	0.0139201	0.08	0.327652	106.103
2	0.0139201	0.04	0.0748017	166.857
2	0.0139201	0.02	0.016958	214.828
2	0.0139201	0.01	0.00513801	270.568
2	0.0139201	0.008	0.0037182	272.105
2	0.0139201	0.004	0.00162923	305.034
2	0.0139201	0.002	0.000850212	389.557
2	0.0139201	0.001	0.000451309	943.163
2	0.0139201	0.0005	0.000236636	1994.21
2	0.0139201	0.00025	0.000126228	4387.82
2	0.0139201	0.000125	7.29707e-05	9816.18
2	0.0139201	6.25e-05	4.88496e-05	21037.6
2	0.0139201	3.125e-05	3.80659e-05	46893.1
