degree	h_max	timestep	error	ti_time
2	0.0139201	0.001	0.000219545	270.459
2	0.0139201	0.0005	0.000114561	549.67
2	0.0139201	0.0004	9.43495e-05	681.521
2	0.0139201	0.000266667	6.85759e-05	1014.52
2	0.0139201	0.0002	5.65941e-05	1393.17
2	0.0139201	0.00016	4.98726e-05	1686.1
2	0.0139201	0.000133333	4.56462e-05	2009.62
2	0.0139201	0.0001	4.07091e-05	2710.48
2	0.0139201	8e-05	3.79579e-05	3398.05
2	0.0139201	4e-05	3.29957e-05	6822.68
2	0.0139201	2e-05	3.08081e-05	13543.4
2	0.0139201	1e-05	2.97933e-05	27184.1
2	0.0139201	5e-06	2.93103e-05	54453.6

